cosine_t0,cosine_t_mult,decay_rate,horizontal_flip,lora,lora_dropout,lora_rank,lr,onecycle_div_factor,onecycle_final_div_factor,onecycle_pct_start,patience_epochs,poly_power,random_rotate,sched,step_size,vertical_flip,weight_decay,num_samples,default_resolution,num_channels,num_classes,dataset,cost,epoch_0_iou,epoch_1_iou,epoch_2_iou,epoch_3_iou,epoch_4_iou,epoch_5_iou,epoch_6_iou,epoch_7_iou,epoch_8_iou,epoch_9_iou
2,2,0.1,0,0,0.0,4,0.00025,50,640,0.075,1,0.5,1,step,3,0,1e-05,14164,"(600, 400)",3,12,human_parsing,194.39076566696167,0.825740185379982,0.8405464053153991,0.8489041835069656,0.8588149636983872,0.8580756038427353,0.8551693856716156,0.8584716081619262,0.8588323652744293,0.8587203741073608,0.8587844043970108
5,1,0.5,0,1,0.1,4,2e-05,20,1000,0.065,2,0.5,1,poly,5,0,0.0001,6464,"(480, 854)",3,9,cholec,169.19999194145203,0.17297267057001592,0.2091935256496072,0.20425047613680364,0.2230510674417019,0.21502076629549266,0.21091152988374234,0.21441070921719074,0.21616074517369271,0.22371037863194942,0.21659825854003428
2,2,0.1,1,1,0.0,4,0.0015,50,1000,0.075,1,1.0,0,plateau,3,1,0.0001,633,"(464, 449)",3,3,US,159.39816856384277,0.6677210494875908,0.728662545979023,0.7573719978332519,0.7601690381765366,0.7596061795949935,0.8120575726032258,0.8035091876983642,0.8184418737888336,0.828988465666771,0.8012043118476868
3,1,0.5,1,1,0.1,8,0.0004,30,1000,0.075,0,1.0,0,cosine_warm,5,0,0.0001,470,"(1600, 1200)",3,1,leaf,130.59051895141602,0.6147266030311584,0.592766561359167,0.6640786617994309,0.6367738381028175,0.6207772582769394,0.6658183217048645,0.5781521812081337,0.6871350586414338,0.6602065563201904,0.6589745253324508
3,1,0.1,0,0,0.0,8,0.00018,30,320,0.035,2,1.0,1,step,3,0,1e-05,109,"(1500, 1500)",3,1,building,181.49277806282043,0.33271929807960987,0.32069028317928316,0.3565246492624283,0.3999483771622181,0.40187654420733454,0.405122034996748,0.4010759212076664,0.4044982738792896,0.402876391261816,0.40283561423420905
3,1,0.1,0,1,0.1,4,0.0005,25,1000,0.035,2,0.9,0,onecycle,5,0,0.0001,109,"(1500, 1500)",3,1,building,191.46299719810486,0.2837256729602814,0.37779782637953757,0.3959093101322651,0.39999023973941805,0.4211623929440975,0.43358622714877126,0.4250968486070633,0.42426484972238543,0.4353442549705505,0.4348054572939873
2,2,0.1,1,1,0.1,16,1.2e-05,100,40,0.035,0,0.9,0,poly,3,1,0.0001,470,"(1600, 1200)",3,1,leaf,128.76716589927673,0.45243119793012737,0.5370337381958962,0.5542747920379043,0.5640498045831919,0.5762535011395812,0.5804219879209995,0.5894715700298547,0.5940763704478741,0.5944843340665102,0.5946921203285456
5,1,0.8,1,0,0.0,8,0.00048,10,20,0.045,2,1.0,1,onecycle,5,1,0.0001,633,"(464, 449)",3,3,US,154.90249156951904,0.8283273696899414,0.8373967558145523,0.8387648344039917,0.8624988287687302,0.8592144608497619,0.8668918043375016,0.887725704908371,0.8891082882881165,0.8969993352890014,0.895949175953865
5,2,0.1,0,1,0.0,4,0.0004,15,10,0.095,1,0.5,1,onecycle,5,0,5e-05,6321,"(374, 280)",1,1,fiber,132.46815133094788,0.22133936062455178,0.19041359536349772,0.27310294806957247,0.27553955242037775,0.27065046951174737,0.28146699965000155,0.2919593818485737,0.29364964067935945,0.29639036804437635,0.29632314667105675
2,1,0.8,0,1,0.1,8,5e-05,100,40,0.045,0,0.5,1,cosine_warm,5,0,5e-05,489,"(288, 384)",3,1,polyp,128.6063220500946,0.7978103380650282,0.7994498351588846,0.7866169452667237,0.7968728626146913,0.7970495346933604,0.8092486172914505,0.8197917681187391,0.8103246159851551,0.8058164103887975,0.8082262318581342
